minute,base_path,instance,intervention_size,resources_size,exclusion_size,scenarious_size,population_size,mutation_rate,crossover_rate,time_limit,error,is_solved
12,./A_set/A_,10,108,9,40,53,0.005,0.0025,50,15,3038.95,1
12,./A_set/A_,3,91,10,12,90,0.005,0.0025,50,15,870.08,1
12,./A_set/A_,1,181,9,81,90,0.005,0.0025,50,15,2,0
12,./A_set/A_,14,108,10,22,53,0.005,0.0025,50,15,2624.04,1
12,./A_set/A_,11,54,9,4,53,0.005,0.0025,50,15,508.381,1
12,./A_set/A_,13,179,9,136,90,0.005,0.0025,50,15,4741.32,1
12,./A_set/A_,15,108,10,22,53,0.005,0.0025,50,15,10,0
12,./A_set/A_,6,180,10,87,182,0.005,0.0025,50,15,767.453,1
12,./A_set/A_,2,89,9,32,90,0.005,0.0025,50,15,326838,1
12,./A_set/A_,5,180,9,87,182,0.005,0.0025,50,15,904.953,1
12,./A_set/A_,4,706,9,1377,365,0.005,0.0025,50,15,11,0
13,./A_set/A_,9,18,10,0,17,0.005,0.0025,50,15,1508.15,1
13,./A_set/A_,7,36,9,3,17,0.005,0.0025,50,15,2296.21,1
13,./A_set/A_,12,54,10,0,53,0.005,0.0025,50,15,816.292,1
13,./A_set/A_,8,18,9,4,17,0.005,0.0025,50,15,747.727,1
13,./A_set/A_,10,108,9,40,53,0.005,0.0025,50,15,3053.18,1
13,./A_set/A_,3,91,10,12,90,0.005,0.0025,50,15,888.009,1
13,./A_set/A_,1,181,9,81,90,0.005,0.0025,50,15,13023.3,1
13,./A_set/A_,14,108,10,22,53,0.005,0.0025,50,15,11626.2,1
13,./A_set/A_,11,54,9,4,53,0.005,0.0025,50,15,516.304,1
13,./A_set/A_,13,179,9,136,90,0.005,0.0025,50,15,2533.39,1
13,./A_set/A_,15,108,10,22,53,0.005,0.0025,50,15,29463.3,1
13,./A_set/A_,6,180,10,87,182,0.005,0.0025,50,15,741.027,1
13,./A_set/A_,2,89,9,32,90,0.005,0.0025,50,15,8130.42,1
13,./A_set/A_,5,180,9,87,182,0.005,0.0025,50,15,757.668,1
13,./A_set/A_,4,706,9,1377,365,0.005,0.0025,50,15,7855.03,1
14,./A_set/A_,9,18,10,0,17,0.005,0.0025,50,15,1507.42,1
14,./A_set/A_,7,36,9,3,17,0.005,0.0025,50,15,2439.56,1
14,./A_set/A_,12,54,10,0,53,0.005,0.0025,50,15,829.797,1
14,./A_set/A_,8,18,9,4,17,0.005,0.0025,50,15,745.528,1
14,./A_set/A_,10,108,9,40,53,0.005,0.0025,50,15,3050.95,1
14,./A_set/A_,3,91,10,12,90,0.005,0.0025,50,15,3330.8,1
14,./A_set/A_,1,181,9,81,90,0.005,0.0025,50,15,246336,1
14,./A_set/A_,14,108,10,22,53,0.005,0.0025,50,15,2645.51,1
14,./A_set/A_,11,54,9,4,53,0.005,0.0025,50,15,498.97,1
14,./A_set/A_,13,179,9,136,90,0.005,0.0025,50,15,5491.64,1
14,./A_set/A_,15,108,10,22,53,0.005,0.0025,50,15,2658.94,1
14,./A_set/A_,6,180,10,87,182,0.005,0.0025,50,15,46,0
14,./A_set/A_,2,89,9,32,90,0.005,0.0025,50,15,178069,1
14,./A_set/A_,5,180,9,87,182,0.005,0.0025,50,15,746.218,1
14,./A_set/A_,4,706,9,1377,365,0.005,0.0025,50,15,81,0
15,./A_set/A_,9,18,10,0,17,0.005,0.0025,50,15,1511.65,1
15,./A_set/A_,7,36,9,3,17,0.005,0.0025,50,15,2284.42,1
15,./A_set/A_,12,54,10,0,53,0.005,0.0025,50,15,854.81,1
15,./A_set/A_,8,18,9,4,17,0.005,0.0025,50,15,749.296,1
15,./A_set/A_,10,108,9,40,53,0.005,0.0025,50,15,3079.85,1
15,./A_set/A_,3,91,10,12,90,0.005,0.0025,50,15,950.453,1
15,./A_set/A_,1,181,9,81,90,0.005,0.0025,50,15,2061.76,1
15,./A_set/A_,14,108,10,22,53,0.005,0.0025,50,15,2682.63,1
15,./A_set/A_,11,54,9,4,53,0.005,0.0025,50,15,524.931,1
15,./A_set/A_,13,179,9,136,90,0.005,0.0025,50,15,2380.37,1
15,./A_set/A_,15,108,10,22,53,0.005,0.0025,50,15,2879.28,1
15,./A_set/A_,6,180,10,87,182,0.005,0.0025,50,15,806.003,1
15,./A_set/A_,2,89,9,32,90,0.005,0.0025,50,15,178003,1
15,./A_set/A_,5,180,9,87,182,0.005,0.0025,50,15,761.314,1
15,./A_set/A_,4,706,9,1377,365,0.005,0.0025,50,15,151,0
1,./A_set/A_,9,18,10,0,17,0.005,0.0025,100,15,1510.88,1
1,./A_set/A_,7,36,9,3,17,0.005,0.0025,100,15,2327.07,1
1,./A_set/A_,12,54,10,0,53,0.005,0.0025,100,15,814.287,1
1,./A_set/A_,8,18,9,4,17,0.005,0.0025,100,15,745.603,1
1,./A_set/A_,10,108,9,40,53,0.005,0.0025,100,15,3076.09,1
1,./A_set/A_,3,91,10,12,90,0.005,0.0025,100,15,924.243,1
1,./A_set/A_,1,181,9,81,90,0.005,0.0025,100,15,5252.8,1
1,./A_set/A_,14,108,10,22,53,0.005,0.0025,100,15,36041.2,1
1,./A_set/A_,11,54,9,4,53,0.005,0.0025,100,15,526.022,1
